Method,nir,germ,gert,p,r,B73hetMean,DonorhetMean,NILhetMean,B73homozIntroMean,DonorhomozIntroMean,NILhomozIntroMean,PercNILsNoIntro
Chip,0.001,0.0001,0.0001,0.1,0.0007416930379746836,0.0,0.009854216112869199,0.0022450930530440024,0.0,0.4968725276898735,0.02418507949065702,0.0
Chip,0.001,0.0001,0.0001,0.1,0.0014833860759493672,0.0,0.015313900975738398,0.0024982105183845686,0.0,0.4598744066455696,0.02244739865883062,0.0
Chip,0.001,0.0001,0.0001,0.1,0.0029667721518987344,0.0,0.015365407436708861,0.0023616448161543095,0.0,0.4606428830432489,0.022482717374924653,0.0
Chip,0.001,0.0001,0.0001,0.25,0.0007416930379746836,0.0,0.007987621967299576,0.0021144138034960825,0.0,0.49834149195675104,0.024274553571428572,0.0
Chip,0.001,0.0001,0.0001,0.25,0.0014833860759493672,0.0,0.009157848760548525,0.0021885831072935504,0.0,0.4659707113660337,0.02274643045509343,0.0
