taxon,r,D,n_blocks,median_mb,donor_frac
Zv,1e-06,0.08809532513855911,1903,13.8297005,0.06468283096407401
Zv,3e-06,0.07214042251723174,2109,12.219261,0.06474199107448929
Zv,5e-06,0.07855706431319376,2202,11.6036165,0.06461759094954991
Zv,7e-06,0.0816081534903067,2281,10.9625445,0.06471793580171097
Zv,1e-05,0.08602154060300227,2353,10.7287715,0.064697264127741
Zv,2e-05,0.09661995085315223,2537,9.7053885,0.06484281174523278
Zv,3e-05,0.10633598828901802,2657,9.226156,0.06461848971798338
Zv,5e-05,0.12039435432247825,2817,8.5253705,0.06452232149560143
