r,D,n_blocks,median_mb,mean_mb,donor_frac,blocks_per_sample
1e-05,0.06703600883597033,333,15.2631335,32.16594829579579,0.08702220919721577,5.459016393442623
3e-05,0.04302086993980479,374,12.89225075,28.373772588235294,0.08615439583931335,6.131147540983607
7e-05,0.05556365990048728,395,11.8364955,26.72915170886076,0.08575227106822672,6.475409836065574
0.0001,0.0671430266826003,413,11.3098005,25.57820978692494,0.08584025677105184,6.770491803278689
0.0002,0.0756265761909568,441,10.155991,23.95320036281179,0.08587973324608364,7.229508196721311
0.0003,0.08474622865579207,458,9.236305999999999,23.028858509825326,0.08576063472819109,7.508196721311475
0.0005,0.10870565034339985,489,8.1294785,21.552139885480575,0.08561845250879689,8.01639344262295
0.001,0.14213990440623703,555,7.182417,18.9404287963964,0.08531903348207266,9.098360655737705
