taxon,n_samples,best_r,D,median_mb,donor_frac,b73_max_dosage,at_grid_edge
Zx,580,7e-06,0.06224186199814663,12.62608175,0.07869446567275931,0.03167217664585119,False
Zv,386,3e-06,0.07214042251723174,12.219261,0.06474199107448929,0.03166197298069467,False
Zd,255,7e-06,0.05968991565844323,12.261385,0.05537741156623459,0.03167217664585119,False
Zl,121,3e-06,0.08937564029418676,11.1824325,0.0542953045262784,0.03166197298069467,False
