taxon,r,D,n_blocks,median_mb,donor_frac
Zl,1e-06,0.11186469202921012,513,13.577613,0.0546042816265553
Zl,3e-06,0.08937564029418676,557,11.1824325,0.0542953045262784
Zl,5e-06,0.09510821386377533,575,10.8588135,0.054196472331539174
Zl,7e-06,0.10076074843910743,599,10.6615665,0.05455469687356326
Zl,1e-05,0.10366834938043268,616,10.19193125,0.054661624538178744
Zl,2e-05,0.1155082962072862,663,9.5485895,0.0550704457669294
Zl,3e-05,0.12867795227064416,694,9.270973,0.05512289766550261
Zl,5e-05,0.13879782598845936,733,8.8803245,0.05495002565252017
